>Feature	Ctg44_length_309375			
118692	120407	gene		
			locus_tag	LWC14_00001
118692	120407	CDS		
			product	Rieske-like [2Fe-2S] domain containing protein, putative
235796	236269	gene		
			locus_tag	LWC14_00002
235796	236269	CDS		
			product	U6 snRNA-associated Sm-like protein LSm8p
101108	102007	gene		
			locus_tag	LWC14_00003
101108	102007	CDS		
			product	succinyl-CoA synthetase alpha subunit, putative
18424	19368	gene		
			locus_tag	LWC14_00004
19368	18424	CDS		
			product	6-phosphogluconolactonase
226809	233012	gene		
			locus_tag	LWC14_00005
226809	233012	CDS		
			product	hypothetical protein, conserved
30168	32819	gene		
			locus_tag	LWC14_00006
32819	30168	CDS		
			product	trypanothione synthetase, putative
13507	15411	gene		
			locus_tag	LWC14_00007
15411	13507	CDS		
			product	hypothetical protein
53426	55357	gene		
			locus_tag	LWC14_00008
55357	53426	CDS		
			product	palmitoyl acyltransferase 10, putative
43951	44433	gene		
			locus_tag	LWC14_00009
44433	43951	CDS		
			product	Microsomal signal peptidase 12 kDa subunit (SPC12), putative
130968	132611	gene		
			locus_tag	LWC14_00010
130968	132611	CDS		
			product	Mitochondrial import inner membrane translocase subunit TIM50
137011	138819	gene		
			locus_tag	LWC14_00011
137011	138819	CDS		
			product	Xaa-Pro aminopeptidase, putative
181090	181755	gene		
			locus_tag	LWC14_00012
181090	181755	CDS		
			product	hypothetical protein, conserved
249232	250470	gene		
			locus_tag	LWC14_00013
249232	250470	CDS		
			product	mitochondrial ribosomal protein l24
223112	224404	gene		
			locus_tag	LWC14_00014
223112	224404	CDS		
			product	mitochondrial RNA binding complex 1 subunit
36233	38353	gene		
			locus_tag	LWC14_00015
38353	36233	CDS		
			product	Pumilio homology domain family member 8
70872	71855	gene		
			locus_tag	LWC14_00016
71855	70872	CDS		
			product	parkin coregulated gene protein
38756	40402	gene		
			locus_tag	LWC14_00017
40402	38756	CDS		
			product	hypothetical protein
253605	254039	gene		
			locus_tag	LWC14_00018
253605	254039	CDS		
			product	Mitochondrial ATP synthase subunit, putative
24115	27228	gene		
			locus_tag	LWC14_00019
27228	24115	CDS		
			product	hypothetical protein, conserved
56109	57779	gene		
			locus_tag	LWC14_00020
57779	56109	CDS		
			product	hypothetical protein, conserved
63559	64119	gene		
			locus_tag	LWC14_00021
64119	63559	CDS		
			product	hypothetical protein, conserved
124444	128547	gene		
			locus_tag	LWC14_00022
124444	128547	CDS		
			product	transcription activator, putative
66814	69102	gene		
			locus_tag	LWC14_00023
69102	66814	CDS		
			product	kinetoplastid kinetochore protein 17
64811	65818	gene		
			locus_tag	LWC14_00024
65818	64811	CDS		
			product	Peroxisome biogenesis protein 2
76795	79950	gene		
			locus_tag	LWC14_00025
79950	76795	CDS		
			product	hypothetical protein, conserved
262197	263936	gene		
			locus_tag	LWC14_00026
262197	263936	CDS		
			product	casein kinase 1, putative
194844	197615	gene		
			locus_tag	LWC14_00027
194844	197615	CDS		
			product	Histone RNA hairpin-binding protein RNA-binding domain containing protein, putative
96057	96878	gene		
			locus_tag	LWC14_00028
96057	96878	CDS		
			product	Mitochondrial SSU ribosomal protein, putative
97388	100135	gene		
			locus_tag	LWC14_00029
97388	100135	CDS		
			product	BRO1-like domain containing protein, putative
171044	173485	gene		
			locus_tag	LWC14_00030
171044	173485	CDS		
			product	hypothetical protein
250811	252736	gene		
			locus_tag	LWC14_00031
250811	252736	CDS		
			product	diacylglycerol acyltransferase, putative
175988	177859	gene		
			locus_tag	LWC14_00032
175988	177859	CDS		
			product	Tetratricopeptide repeat protein 29, putative
219702	221468	gene		
			locus_tag	LWC14_00033
219702	221468	CDS		
			product	hypothetical protein, conserved
139772	140608	gene		
			locus_tag	LWC14_00034
139772	140608	CDS		
			product	hypothetical protein
129006	130271	gene		
			locus_tag	LWC14_00035
129006	130271	CDS		
			product	hypothetical protein, conserved
42045	43265	gene		
			locus_tag	LWC14_00036
43265	42045	CDS		
			product	AGC essential kinase 1
233424	234506	gene		
			locus_tag	LWC14_00037
233424	234506	CDS		
			product	pyruvate dehydrogenase E1 beta subunit, putative
174906	175670	gene		
			locus_tag	LWC14_00038
174906	175670	CDS		
			product	RNA-binding protein, putative
166517	168880	gene		
			locus_tag	LWC14_00039
166517	168880	CDS		
			product	kinesin, putative
254879	256069	gene		
			locus_tag	LWC14_00040
254879	256069	CDS		
			product	Eukaryotic translation initiation factor 3 subunit F
265435	273210	gene		
			locus_tag	LWC14_00041
265435	273210	CDS		
			product	ER-golgi trafficking TRAPP I complex 85 kDa subunit, putative
109090	110262	gene		
			locus_tag	LWC14_00042
109090	110262	CDS		
			product	TPR repeat, putative
72625	73767	gene		
			locus_tag	LWC14_00043
73767	72625	CDS		
			product	chaperone protein DnaJ, putative
297973	298290	gene		
			locus_tag	LWC14_00044
297973	298290	CDS		
			product	Mitochondrial import inner membrane translocase subunit 10
47989	51123	gene		
			locus_tag	LWC14_00045
51123	47989	CDS		
			product	hypothetical protein
256801	261240	gene		
			locus_tag	LWC14_00046
256801	261240	CDS		
			product	Cilia- and flagella-associated protein 251, putative
292913	297553	gene		
			locus_tag	LWC14_00047
292913	297553	CDS		
			product	CMGC/CLK family protein kinase, putative
212596	213684	gene		
			locus_tag	LWC14_00048
212596	213684	CDS		
			product	CHAP domain containing protein, putative
141813	144572	gene		
			locus_tag	LWC14_00049
141813	144572	CDS		
			product	hypothetical protein
106332	108596	gene		
			locus_tag	LWC14_00050
106332	108596	CDS		
			product	KIF-1 binding protein C terminal, putative
165905	166207	gene		
			locus_tag	LWC14_00051
165905	166207	CDS		
			product	acylphosphatase, putative
225198	226457	gene		
			locus_tag	LWC14_00052
225198	226457	CDS		
			product	hypothetical protein, conserved
134133	135050	gene		
			locus_tag	LWC14_00053
134133	135050	CDS		
			product	hypothetical protein, conserved
242048	242992	gene		
			locus_tag	LWC14_00054
242048	242992	CDS		
			product	chaperone protein DnaJ, putative
51790	52974	gene		
			locus_tag	LWC14_00055
52974	51790	CDS		
			product	Peroxisome biogenesis factor 10
135613	136575	gene		
			locus_tag	LWC14_00056
135613	136575	CDS		
			product	hypothetical protein, conserved
16303	17319	gene		
			locus_tag	LWC14_00057
17319	16303	CDS		
			product	hypothetical protein
45131	47434	gene		
			locus_tag	LWC14_00058
47434	45131	CDS		
			product	hypothetical protein
20696	22630	gene		
			locus_tag	LWC14_00059
22630	20696	CDS		
			product	PIN domain containing protein, putative
27826	28629	gene		
			locus_tag	LWC14_00060
28629	27826	CDS		
			product	Arv1-like family, putative
161576	165616	gene		
			locus_tag	LWC14_00061
161576	165616	CDS		
			product	kinesin, putative
121965	123068	gene		
			locus_tag	LWC14_00062
121965	123068	CDS		
			product	protein phosphatase 2C, putative
74225	76117	gene		
			locus_tag	LWC14_00063
76117	74225	CDS		
			product	vacuolar sorting protein 33 , putative
221777	222202	gene		
			locus_tag	LWC14_00064
221777	222202	CDS		
			product	small myristoylated protein 1-2
87957	90467	gene		
			locus_tag	LWC14_00065
87957	90467	CDS		
			product	Mitochondrial SSU ribosomal protein, putative
236690	241669	gene		
			locus_tag	LWC14_00066
236690	241669	CDS		
			product	leucine-rich repeat protein (LRRP), putative
276542	291904	gene		
			locus_tag	LWC14_00067
276542	291904	CDS		
			product	cytochrome b5-like Heme/Steroid binding domain containing protein, putative
209020	212271	gene		
			locus_tag	LWC14_00068
209020	212271	CDS		
			product	hypothetical protein, conserved
33834	34028	gene		
			locus_tag	LWC14_00069
34028	33834	CDS		
			product	hypothetical protein
34608	35348	gene		
			locus_tag	LWC14_00070
35348	34608	CDS		
			product	adenylate kinase, putative
58315	58740	gene		
			locus_tag	LWC14_00071
58740	58315	CDS		
			product	hypothetical protein
59526	59924	gene		
			locus_tag	LWC14_00072
59924	59526	CDS		
			product	hypothetical protein, conserved
151423	152859	gene		
			locus_tag	LWC14_00073
151423	152859	CDS		
			product	STE20-like serine/threonine-protein kinase, putative
153713	159451	gene		
			locus_tag	LWC14_00074
153713	159451	CDS		
			product	Minicircle replication factor 172
178564	179337	gene		
			locus_tag	LWC14_00075
178564	179337	CDS		
			product	hypothetical protein, conserved
179679	180713	gene		
			locus_tag	LWC14_00076
179679	180713	CDS		
			product	phosphopantothenoylcysteine synthetase, putative
112863	113330	gene		
			locus_tag	LWC14_00077
112863	113330	CDS		
			product	Mitochondrial ATP synthase subunit, putative
114590	117925	gene		
			locus_tag	LWC14_00078
114590	117925	CDS		
			product	translation elongation factor EF-2, putative
247339	248250	gene		
			locus_tag	LWC14_00079
247339	248250	CDS		
			product	hypothetical protein, conserved
217388	218776	gene		
			locus_tag	LWC14_00080
217388	218776	CDS		
			product	3-oxo-5-alpha-steroid 4-dehydrogenase, putative
182132	182542	gene		
			locus_tag	LWC14_00081
182132	182542	CDS		
			product	Vacuolar protein sorting-associated protein 55 homolog
182989	184395	gene		
			locus_tag	LWC14_00082
182989	184395	CDS		
			product	TLP18.3, Psb32 and MOLO-1 founding proteins of phosphatase, putative
184902	186638	gene		
			locus_tag	LWC14_00083
184902	186638	CDS		
			product	pre-mrna-processing factor 17
201958	202947	gene		
			locus_tag	LWC14_00084
201958	202947	CDS		
			product	conserved protein, unknown function
203541	208511	gene		
